lorsque	1
j'avais	1
six	1
ans	1
j'ai	1
vu	1
une	1
fois	1
une	1
magnifique	1
image	1
dans	1
un	1
livre	1
sur	1
la	1
forêt	1
vierge	1
qui	1
s'appelait	1
histoires	1
vécues	1
ça	2
représentait	2
un	2
serpent	2
boa	2
qui	2
avalait	2
un	2
fauve	2
voilà	3
la	3
copie	3
du	3
dessin	3
on	4
disait	4
dans	4
le	4
livre	4
les	5
serpents	5
boas	5
avalent	5
leur	5
proie	5
tout	5
entière	5
sans	5
la	5
mâcher	5
ensuite	6
ils	6
ne	6
peuvent	6
plus	6
bouger	6
et	6
ils	6
dorment	6
pendant	6
les	6
six	6
mois	6
de	6
leur	6
digestion	6
j'ai	6
alors	6
beaucoup	6
réfléchi	6
sur	6
les	6
aventures	6
de	6
la	6
jungle	6
et	6
à	6
mon	6
tour	6
j'ai	6
réussi	6
avec	6
un	6
crayon	6
de	6
couleur	6
à	6
tracer	6
mon	6
premier	6
dessin	6
mon	7
dessin	7
numéro	7
1	7
il	8
était	8
comme	8
ça	8
j'ai	9
montré	9
mon	9
chef-d'oeuvre	9
aux	9
grandes	9
personnes	9
et	9
je	9
leur	9
ai	9
demandé	9
si	9
mon	9
dessin	9
leur	9
faisait	9
peur	9
elles	10
m'ont	10
répondu	10
pourquoi	11
un	11
chapeau	11
ferait-il	11
peur	11
mon	11
dessin	11
ne	11
représentait	11
pas	11
un	11
chapeau	11
il	12
représentait	12
un	12
serpent	12
boa	12
qui	12
digérait	12
un	12
éléphant	12
j'ai	13
alors	13
dessiné	13
l'intérieur	13
du	13
serpent	13
boa	13
afin	13
que	13
les	13
grandes	13
personnes	13
puissent	13
comprendre	13
elles	14
ont	14
toujours	14
besoin	14
d'explications	14
mon	15
dessin	15
numéro	15
2	15
était	15
comme	15
ça	15
les	16
grandes	16
personnes	16
m'ont	16
conseillé	16
de	16
laisser	16
de	16
côté	16
les	16
dessins	16
de	16
serpents	16
boas	16
ouverts	16
ou	16
fermés	16
et	16
de	16
m'intéresser	16
plutôt	16
à	16
la	16
géographie	16
à	16
l'histoire	16
au	16
calcul	16
et	16
à	16
la	16
grammaire	16
c'est	17
ainsi	17
que	17
j'ai	17
abandonné	17
à	17
l'âge	17
de	17
six	17
ans	17
une	17
magnifique	17
carrière	17
de	17
peintre	17
j'avais	18
été	18
découragé	18
par	18
l'insuccès	18
de	18
mon	18
dessin	18
numéro	18
1	18
et	18
de	18
mon	18
dessin	18
numéro	18
2	18
les	19
grandes	19
personnes	19
ne	19
comprennent	19
jamais	19
rien	19
toutes	19
seules	19
et	19
c'est	19
fatigant	19
pour	19
les	19
enfants	19
de	19
toujours	19
et	19
toujours	19
leur	19
donner	19
des	19
explications	19
j'ai	20
donc	20
dû	20
choisir	20
un	20
autre	20
métier	20
et	20
j'ai	20
appris	20
à	20
piloter	20
des	20
avions	20
j'ai	21
volé	21
un	21
peu	21
partout	21
dans	21
le	21
monde	21
et	22
la	22
géographie	22
c'est	22
exact	22
m'a	22
beaucoup	22
servi	22
je	23
savais	23
reconnaître	23
du	23
premier	23
coup	23
d'oeil	23
la	23
chine	23
de	23
l'arizona	23
c'est	24
très	24
utile	24
si	24
l'on	24
s'est	24
égaré	24
pendant	24
la	24
nuit	24
j'ai	25
ainsi	25
eu	25
au	25
cours	25
de	25
ma	25
vie	25
des	25
tas	25
de	25
contacts	25
avec	25
des	25
tas	25
de	25
gens	25
sérieux	25
j'ai	26
beaucoup	26
vécu	26
chez	26
les	26
grandes	26
personnes	26
je	27
les	27
ai	27
vues	27
de	27
très	27
près	27
ça	28
n'a	28
pas	28
trop	28
amélioré	28
mon	28
opinion	28
quand	29
j'en	29
rencontrais	29
une	29
qui	29
me	29
paraissait	29
un	29
peu	29
lucide	29
je	29
faisais	29
l'expérience	29
sur	29
elle	29
de	29
mon	29
dessin	29
numéro	29
1	29
que	29
j'ai	29
toujours	29
conservé	29
je	29
voulais	29
savoir	29
si	29
elle	29
était	29
vraiment	29
compréhensive	29
mais	30
toujours	30
elle	30
me	30
répondait	30
c'est	31
un	31
chapeau	31
alors	31
je	31
ne	31
lui	31
parlais	31
ni	31
de	31
serpents	31
boas	31
ni	31
de	31
forêts	31
vierges	31
ni	31
d'étoiles	31
je	32
me	32
mettais	32
à	32
sa	32
portée	32
je	33
lui	33
parlais	33
de	33
bridge	33
de	33
golf	33
de	33
politique	33
et	33
de	33
cravates	33
et	34
la	34
grande	34
personne	34
était	34
bien	34
contente	34
de	34
connaître	34
un	34
homme	34
aussi	34
raisonnable	34
j'ai	35
ainsi	35
vécu	35
seul	35
sans	35
personne	35
avec	35
qui	35
parler	35
véritablement	35
jusqu'à	35
une	35
panne	35
dans	35
le	35
désert	35
du	35
sahara	35
il	35
y	35
a	35
six	35
